Codigo,Nombre,Precio,Inventario,Descripcion,SinIVA,ConIVA,Venta,Final
3770000904918,QUEENDOMINO,$30.000,2,QUEENDOMINO,$17.641,$21.000,$30.000,
8436607942610,SALTONSEA,$30.000,2,SALTON SEA,$17.641,$21.000,$30.000,
8436607944256,SELVAPROHIBIDA,$30.000,2,SELVA PROHIBIDA,$17.641,$21.000,$30.000,
3421271317418,SQUADRO,$30.000,2,SQUADRO,$17.137,$20.400,$30.000,
8436017228151,UBONGOCLASSIC,$30.000,2,UBONGO CLASSIC,$17.152,$20.411,$29.000,$30.000
824968817766,AVTALTRENEXPPAISESBAJOS,$29.000,2,AVENTUREROS AL TREN EXP. PAISES BAJOS,$22.352,$26.600,$38.000,$29.000
3421271300823,QUIXO,$28.000,2,QUIXO,$15.994,$19.100,$28.000,
810083040172,THROWTHROBURRITO,$28.000,2,THROW THROW BURRITO,$16.465,$19.600,$28.000,
8436607941477,GETONBOARDPARISROMA,$27.000,2,GET ON BOARD PARIS Y ROMA,$15.423,$18.400,$27.000,
8436589621046,REDCATHEDRAL,$27.000,2,RED CATHEDRAL,$15.876,$18.900,$27.000,
712038540570,AFTERTHEVIRUS,25000,2,After The Virus,14700,17493,25000,
8436017227062,CATANAMPMERCADERESBARBAROS,$25.000,2,CATAN AMP. MERCADERES Y BARBAROS,,$0,$25.000,
8436017224627,CODIGOSECRETOIMAGENES,$25.000,2,CODIGO SECRETO IMAGENES,$14.700,$17.500,$25.000,
8436607941330,GENIAL,$25.000,2,GENIAL,$14.280,$17.000,$25.000,
3770000904857,PANICMANSION,$25.000,2,PANIC MANSION,$15.994,$19.100,$28.000,$25.000
8436017221206,TUAREG,$25.000,2,TUAREG,$14.700,$17.500,$25.000,
8005125398126,Puzzle 1000 piezas Villanos Di,$24.000,2,Puzzle 1000 piezas Villanos Disney Compacto,$11.995,$14.300,$24.000,
8005125398553,PuzzleHPcompactHarrymaestros,$24.000,2,Puzzle 1000 piezas Harry Potter compacto Harry/maestros,$11.995,$14.300,$24.000,
8005125398102,PuzzlePelículasClasicasDisney,$24.000,2,Puzzle 1000 piezas Películas Clasicas Disney,$11.995,$14.274,$24.000,
8436607943716,BEACONPATROL,$23.000,2,Beacon Patrol,,,$23.000,
5425016926246,FUNFACTS,$23.000,2,FUN FACTS,,$19.328,$23.000,
8005125316823,Puzzle 1500 piezas Barco Pirat,$23.000,2,Puzzle 1500 piezas Barco Pirata,$11.495,$13.679,$23.000,
8005125316939,Puzzle 1500 piezas Nueva York,$23.000,2,Puzzle 1500 piezas Nueva York East River at Dusk,$11.495,$13.679,$23.000,
8005125317189,Puzzle 1500 piezas Taj Mahal C,$23.000,2,Puzzle 1500 piezas Taj Mahal Compacto,$11.495,$13.700,$23.000,
8005125317387,PZZL1500MUSEOTORBABELCOMPACT,$23.000,2,Puzzle 1500 Museo Torre de Babel BRUEGUEL Compact,,,$23.000,
9352801001344,boxmagneticoaprenderacontar,$22.000,2,Juego Magnetico Aprender a Contar,$10.995,$13.100,$22.000,
5704339004627,HINT,$22.000,2,HINT,$12.935,$15.400,$22.000,
196214118683,POKLLAMABLANCATECHSTICKERESP,22000,2,Llama Blanca Tech Sticker (ESP),11171,"13293,49",$19.000,22000
9352801003256,Sudoku Magnetico Principiante,$22.000,2,Sudoku Magnetico Principiante,$10.995,$13.084,$22.000,
8436607943730,ALICEHADESAPARECIDOEXP,$20.000,2,ALICE HA DESAPARECIDO EXP. SILENT FALLS,$11.759,$14.000,$20.000,
8436017223354,CODIGOSECRETO,$20.000,2,CODIGO SECRETO,$11.759,$14.000,$20.000,
3558380086079,DIXITEXPMEMORIES,$20.000,2,DIXIT EXP. MEMORIES,$11.759,$14.000,$20.000,
3558380076780,ENUNAESCALADE1AT-REX,$20.000,2,EN UNA ESCALA DE 1 A T-REX,$11.759,$14.000,$20.000,
810083047454,EXPLODINGKITTENSCATCHCORE,$20.000,2,EXPLODING KITTENS CATCHABLES CORE,$11.759,$14.000,$20.000,
3558380067603,MYSTERIUMHIDDENSIGNS,$20.000,2,Mysterium Hidden Signs,,,$20.000,
8435407636255,PATCHWORKHALLOWEEN,$20.000,2,PATCHWORK HALLOWEEN,$12.490,$14.900,$22.000,$20.000
8005125397723,Puzzle 1000 piezas Puente Lond,$20.000,2,Puzzle 1000 piezas Puente Londres Compacto,$9.995,$11.900,$20.000,
8005125399123,Puzzle 1000 piezas Santorini C,$20.000,2,Puzzle 1000 piezas Santorini Compacto,$9.995,$11.900,$20.000,
8005125394531,Puzzle 1000 piezas Volcan Etna,$20.000,2,Puzzle 1000 piezas Volcan Etna,$9.995,$11.894,$20.000,
8005125355334,Puzzle 500 piezas Cheshire Cat,$20.000,2,Puzzle 500 piezas Cheshire Cat Compact,$9.995,$11.894,$20.000,
8005125397082,PuzzleLeonardoGiocconda,$20.000,2,Puzzle 1000 piezas Leonardo Giocconda,$9.995,$11.894,$20.000,
8005125396474,PuzzleManarola,$20.000,2,Puzzle 1000 piezas Manarola,$9.995,$11.894,$20.000,
8005125393770,PuzzleMunchElGrito2,$20.000,2,Puzzle Munch El Grito 2,,,$20.000,
8005125399857,PZZL1000ATDRROMACOMPACT,$20.000,2,Puzzle 1000 Atardecer Roma Compact,,,$20.000,
8005125399901,PZZL1000CARNAVVENECICOMPACT,$20.000,2,Puzzle 1000 Carnaval VeneciaCompact,,,$20.000,
8005125317158,PZZL1000LONDONTWICOMPACT,$20.000,2,Puzzle 1000 London Twlight,,,$20.000,
8005125399666,PZZL1000MUSEOGIRASOLESCOMPACT,$20.000,2,Puzzle 1000 Museo Girasoles Compact,,,$20.000,
8005125399659,PZZL1000MUSEOULTIMACENACOMPACT,$20.000,2,Puzzle 1000 Museo La Ultima Cena Leonardo Compact,,,$20.000,
8005125399543,PZZL1000PARKGUELLCOMPACT,$20.000,2,Puzzle 1000 Oarque Guell Barcelona Compact,,,$20.000,
8005125399390,PZZL1000RIOKOICOMPACT,$20.000,2,Puzzle 1000 Rio Koi Compact,,,$20.000,
8425402888766,REMOLACHA,$20.000,2,REMOLACHA,$11.423,$13.600,$20.000,
724373627793,TOMA6ANIVERSARIO30,$20.000,2,Toma 6 Aniversario 30,$12.011,$14.293,$20.000,
9788460659662,VIRUS,$20.000,2,VIRUS,$11.759,$14.000,$20.000,
9352801001535,Artemagneticomundoanimal,$19.000,2,Juego y Arte Magnetico Mundo Animal,$9.495,$11.300,$19.000,
781159750304,DRAFTOSAURUS,$19.000,2,DRAFTOSAURUS,$10.919,$13.000,$19.000,
3664824002366,PUERTOBANANA,$18.000,2,Puerto Banana,,,$18.000,
8005125355884,PZZL500ANFITEATROCOMPACT,$17.000,2,Puzzle 500 Anfiteatro Compact,,,$17.000,
8005125355983,PZZL500TORREIFFELCOMPACT,$17.000,2,Puzzle 500 Torre Eiffel Compact,,,$17.000,
8436017222944,SET,$16.000,2,SET,$9.406,$11.200,$16.000,
724373627878,THEMINDSOULMATES,$16.000,2,THE MIND SOULMATES,$9.280,$11.100,$16.000,
824968224618,AVTALTRENLONDRES,$15.000,2,AVENTUREROS AL TREN LONDRES,$8.818,$10.500,$15.000,
824968208649,AVTALTRENSANFRANCISCO,$15.000,2,AVENTUREROS AL TREN SAN FRANCISCO,$8.818,$10.500,$15.000,
8435407639065,BANANAGRAMS,$15.000,2,BANANAGRAMS,$8.818,$10.500,$15.000,
5025822234094,BRAINBOXFUTBOL,$15.000,2,BRAINBOX FUTBOL,$8.818,$10.500,$15.000,
5025822234100,BRAINBOXIMAGENES,$15.000,2,BRAINBOX IMAGENES,$8.818,$10.500,$15.000,
8436017224917,CARCASSONNECONSTRUCTORES,$15.000,2,CARCASSONNE EXP. CONSTRUCTORES,$8.818,$10.500,$15.000,
8436017225532,CARCASSONNELAABADIAALCALDE,$15.000,2,CARCASSONNE EXP. LA ABADIA Y EL ALCALDE,$8.566,$10.200,$15.000,
8436589627000,GETONBOARDNY&LONDON,$15.000,2,Get On Board Nueva York & London,,,$15.000,
8005125257751,Puzzle 104 piezas Harry Potter,$15.000,2,Puzzle 104 piezas Harry Potter,$7.495,$8.919,$15.000,
3558380024255,DOBBLE NFANTIL,$13.000,2,DOBBLE INFANTIL,$7.641,$9.100,$13.000,
8436017226720,EXITLAISLAOLVIDADA,$13.000,2,"EXIT ""LA ISLA OLVIDADA""",$7.641,$9.093,$13.000,
8436017225648,LATORREENCANTADA,$13.000,2,LA TORRE ENCANTADA,$7.641,$9.100,$13.000,
724373627854,MULTIVERSEMONEY,$13.000,2,MULTIVERSE MONEY,$7.095,$8.500,$13.000,
3558380119814,ABALONEGO,$12.000,2,ABALONE GO,$7.053,$8.400,$12.000,
9352801000828,CajaViajesAventuraEspacial,$10.000,2,Caja Magnetica Viajes Aventura Espacial,$4.995,$5.944,$10.000,
9352801000859,CajaViajesBombero,$10.000,2,Caja Magnetica Viajes Bombero,$4.995,$5.944,$10.000,
9352801000873,CajaViajesProfesionalSalud,$10.000,2,Caja Magnetica Viajes Profesional de la Salud,$4.995,$5.944,$10.000,
9352801001153,CajaViajesTrenes,$10.000,2,Caja Magnetica Viajes Trenes,$4.995,$5.944,$10.000,
724373627687,CROPCIRCLES,$10.000,2,CROP CIRCLES,$4.394,$5.300,$10.000,
8436607940289,FLASH10,$10.000,2,FLASH 10,$5.708,$6.800,$10.000,
8436589625143,OUCH!,$10.000,2,OUCH!,$5.876,$7.000,$10.000,
709081046456,QWINTO,$10.000,2,QWINTO,,,$10.000,
